sbj_num,formula,overall_liking_score,atributo,nivel,producto
180964244,182,9,queso,TM,Churritos Prueba
180964244,182,9,crujiente,JAR,Churritos Prueba
180964244,182,9,textura,TM,Churritos Prueba
180964244,182,9,porosidad,JAR,Churritos Prueba
181019999,182,9,olor,JAR,Churritos Prueba
181019999,182,9,color,JAR,Churritos Prueba
181019999,182,9,sal,JAR,Churritos Prueba
181019999,182,9,queso,JAR,Churritos Prueba
181019999,182,9,crujiente,JAR,Churritos Prueba
181019999,182,9,textura,JAR,Churritos Prueba
181019999,182,9,porosidad,JAR,Churritos Prueba
181065570,182,7,olor,TL,Churritos Prueba
181065570,182,7,color,TL,Churritos Prueba
181065570,182,7,sal,JAR,Churritos Prueba
181065570,182,7,queso,JAR,Churritos Prueba
181065570,182,7,crujiente,JAR,Churritos Prueba
181065570,182,7,textura,TL,Churritos Prueba
181065570,182,7,porosidad,TL,Churritos Prueba
180966091,182,7,olor,TM,Churritos Prueba
180966091,182,7,color,TL,Churritos Prueba
180966091,182,7,sal,JAR,Churritos Prueba
180966091,182,7,queso,TL,Churritos Prueba
180966091,182,7,crujiente,TL,Churritos Prueba
180966091,182,7,textura,JAR,Churritos Prueba
180966091,182,7,porosidad,JAR,Churritos Prueba
181015306,182,7,olor,TM,Churritos Prueba
181015306,182,7,color,TM,Churritos Prueba
181015306,182,7,sal,TL,Churritos Prueba
181015306,182,7,queso,TL,Churritos Prueba
181015306,182,7,crujiente,TM,Churritos Prueba
181015306,182,7,textura,TM,Churritos Prueba
181015306,182,7,porosidad,TM,Churritos Prueba
180975429,182,7,olor,TL,Churritos Prueba
180975429,182,7,color,TL,Churritos Prueba
180975429,182,7,sal,TM,Churritos Prueba
180975429,182,7,queso,JAR,Churritos Prueba
180975429,182,7,crujiente,TL,Churritos Prueba
180975429,182,7,textura,TL,Churritos Prueba
180975429,182,7,porosidad,TM,Churritos Prueba
181062173,182,9,olor,JAR,Churritos Prueba
181062173,182,9,color,TM,Churritos Prueba
181062173,182,9,sal,JAR,Churritos Prueba
181062173,182,9,queso,TM,Churritos Prueba
181062173,182,9,crujiente,JAR,Churritos Prueba
181062173,182,9,textura,JAR,Churritos Prueba
181062173,182,9,porosidad,TM,Churritos Prueba
180967102,182,6,olor,JAR,Churritos Prueba
180967102,182,6,color,TM,Churritos Prueba
180967102,182,6,sal,TL,Churritos Prueba
180967102,182,6,queso,TL,Churritos Prueba
180967102,182,6,crujiente,TL,Churritos Prueba
180967102,182,6,textura,TL,Churritos Prueba
180967102,182,6,porosidad,TM,Churritos Prueba
180969933,182,9,olor,JAR,Churritos Prueba
180969933,182,9,color,JAR,Churritos Prueba
180969933,182,9,sal,JAR,Churritos Prueba
180969933,182,9,queso,JAR,Churritos Prueba
180969933,182,9,crujiente,JAR,Churritos Prueba
180969933,182,9,textura,JAR,Churritos Prueba
180969933,182,9,porosidad,JAR,Churritos Prueba
180977078,182,8,olor,TL,Churritos Prueba
180977078,182,8,color,TL,Churritos Prueba
180977078,182,8,sal,TM,Churritos Prueba
180977078,182,8,queso,TL,Churritos Prueba
180977078,182,8,crujiente,TM,Churritos Prueba
180977078,182,8,textura,TL,Churritos Prueba
180977078,182,8,porosidad,TL,Churritos Prueba
180948412,182,9,olor,JAR,Churritos Prueba
180948412,182,9,color,JAR,Churritos Prueba
180948412,182,9,sal,JAR,Churritos Prueba
180948412,182,9,queso,JAR,Churritos Prueba
180948412,182,9,crujiente,JAR,Churritos Prueba
180948412,182,9,textura,JAR,Churritos Prueba
180948412,182,9,porosidad,JAR,Churritos Prueba
181125963,182,9,olor,TM,Churritos Prueba
181125963,182,9,color,TL,Churritos Prueba
181125963,182,9,sal,JAR,Churritos Prueba
181125963,182,9,queso,TM,Churritos Prueba
181125963,182,9,crujiente,TM,Churritos Prueba
181125963,182,9,textura,TM,Churritos Prueba
181125963,182,9,porosidad,JAR,Churritos Prueba
180965611,182,5,olor,TL,Churritos Prueba
180965611,182,5,color,TL,Churritos Prueba
180965611,182,5,sal,TM,Churritos Prueba
180965611,182,5,queso,TL,Churritos Prueba
180965611,182,5,crujiente,JAR,Churritos Prueba
180965611,182,5,textura,JAR,Churritos Prueba
180965611,182,5,porosidad,JAR,Churritos Prueba
181070490,182,9,olor,JAR,Churritos Prueba
181070490,182,9,color,JAR,Churritos Prueba
181070490,182,9,sal,JAR,Churritos Prueba
181070490,182,9,queso,JAR,Churritos Prueba
181070490,182,9,crujiente,JAR,Churritos Prueba
181070490,182,9,textura,JAR,Churritos Prueba
181070490,182,9,porosidad,TM,Churritos Prueba
181031765,182,9,olor,TM,Churritos Prueba
181031765,182,9,color,JAR,Churritos Prueba
181031765,182,9,sal,TL,Churritos Prueba
181031765,182,9,queso,JAR,Churritos Prueba
181031765,182,9,crujiente,TL,Churritos Prueba
181031765,182,9,textura,JAR,Churritos Prueba
181031765,182,9,porosidad,TM,Churritos Prueba
181031764,182,7,olor,TM,Churritos Prueba
181031764,182,7,color,JAR,Churritos Prueba
181031764,182,7,sal,TL,Churritos Prueba
181031764,182,7,queso,TM,Churritos Prueba
181031764,182,7,crujiente,TL,Churritos Prueba
181031764,182,7,textura,JAR,Churritos Prueba
181031764,182,7,porosidad,TL,Churritos Prueba
181065626,182,8,olor,TM,Churritos Prueba
181065626,182,8,color,TL,Churritos Prueba
181065626,182,8,sal,TM,Churritos Prueba
181065626,182,8,queso,JAR,Churritos Prueba
181065626,182,8,crujiente,JAR,Churritos Prueba
181065626,182,8,textura,JAR,Churritos Prueba
181065626,182,8,porosidad,JAR,Churritos Prueba
181060887,182,9,olor,JAR,Churritos Prueba
181060887,182,9,color,JAR,Churritos Prueba
181060887,182,9,sal,JAR,Churritos Prueba
181060887,182,9,queso,JAR,Churritos Prueba
181060887,182,9,crujiente,JAR,Churritos Prueba
181060887,182,9,textura,JAR,Churritos Prueba
181060887,182,9,porosidad,JAR,Churritos Prueba
181126494,182,9,olor,JAR,Churritos Prueba
181126494,182,9,color,TM,Churritos Prueba
181126494,182,9,sal,TM,Churritos Prueba
181126494,182,9,queso,JAR,Churritos Prueba
181126494,182,9,crujiente,JAR,Churritos Prueba
181126494,182,9,textura,JAR,Churritos Prueba
181126494,182,9,porosidad,JAR,Churritos Prueba
181060598,182,7,olor,JAR,Churritos Prueba
181060598,182,7,color,TL,Churritos Prueba
181060598,182,7,sal,TL,Churritos Prueba
181060598,182,7,queso,JAR,Churritos Prueba
181060598,182,7,crujiente,JAR,Churritos Prueba
181060598,182,7,textura,JAR,Churritos Prueba
181060598,182,7,porosidad,JAR,Churritos Prueba
180972012,182,9,olor,TL,Churritos Prueba
180972012,182,9,color,JAR,Churritos Prueba
180972012,182,9,sal,TL,Churritos Prueba
180972012,182,9,queso,JAR,Churritos Prueba
180972012,182,9,crujiente,JAR,Churritos Prueba
180972012,182,9,textura,TL,Churritos Prueba
180972012,182,9,porosidad,TL,Churritos Prueba
181016136,182,9,olor,JAR,Churritos Prueba
181016136,182,9,color,JAR,Churritos Prueba
181016136,182,9,sal,JAR,Churritos Prueba
181016136,182,9,queso,JAR,Churritos Prueba
181016136,182,9,crujiente,TM,Churritos Prueba
181016136,182,9,textura,JAR,Churritos Prueba
181016136,182,9,porosidad,JAR,Churritos Prueba
180946716,182,8,olor,TM,Churritos Prueba
180946716,182,8,color,TM,Churritos Prueba
180946716,182,8,sal,TL,Churritos Prueba
180946716,182,8,queso,TM,Churritos Prueba
180946716,182,8,crujiente,TM,Churritos Prueba
180946716,182,8,textura,JAR,Churritos Prueba
180946716,182,8,porosidad,JAR,Churritos Prueba
180977203,182,7,olor,TL,Churritos Prueba
180977203,182,7,color,TL,Churritos Prueba
180977203,182,7,sal,TL,Churritos Prueba
180977203,182,7,queso,JAR,Churritos Prueba
180977203,182,7,crujiente,TL,Churritos Prueba
180977203,182,7,textura,TL,Churritos Prueba
180977203,182,7,porosidad,JAR,Churritos Prueba
181009667,182,8,olor,JAR,Churritos Prueba
181009667,182,8,color,JAR,Churritos Prueba
181009667,182,8,sal,JAR,Churritos Prueba
181009667,182,8,queso,JAR,Churritos Prueba
181009667,182,8,crujiente,JAR,Churritos Prueba
181009667,182,8,textura,JAR,Churritos Prueba
181009667,182,8,porosidad,JAR,Churritos Prueba
180947744,182,4,olor,TL,Churritos Prueba
180947744,182,4,color,TL,Churritos Prueba
180947744,182,4,sal,TL,Churritos Prueba
180947744,182,4,queso,TL,Churritos Prueba
180947744,182,4,crujiente,TL,Churritos Prueba
180947744,182,4,textura,TL,Churritos Prueba
180947744,182,4,porosidad,TL,Churritos Prueba
181020188,182,9,olor,TM,Churritos Prueba
181020188,182,9,color,TL,Churritos Prueba
181020188,182,9,sal,TL,Churritos Prueba
181020188,182,9,queso,TM,Churritos Prueba
181020188,182,9,crujiente,TM,Churritos Prueba
181020188,182,9,textura,TL,Churritos Prueba
181020188,182,9,porosidad,TM,Churritos Prueba
181060314,182,9,olor,JAR,Churritos Prueba
181060314,182,9,color,JAR,Churritos Prueba
181060314,182,9,sal,JAR,Churritos Prueba
181060314,182,9,queso,JAR,Churritos Prueba
181060314,182,9,crujiente,JAR,Churritos Prueba
181060314,182,9,textura,JAR,Churritos Prueba
181060314,182,9,porosidad,JAR,Churritos Prueba
180977520,182,8,olor,JAR,Churritos Prueba
180977520,182,8,color,JAR,Churritos Prueba
180977520,182,8,sal,JAR,Churritos Prueba
180977520,182,8,queso,JAR,Churritos Prueba
180977520,182,8,crujiente,JAR,Churritos Prueba
180977520,182,8,textura,JAR,Churritos Prueba
180977520,182,8,porosidad,JAR,Churritos Prueba
180971299,182,9,olor,JAR,Churritos Prueba
180971299,182,9,color,JAR,Churritos Prueba
180971299,182,9,sal,JAR,Churritos Prueba
180971299,182,9,queso,JAR,Churritos Prueba
180971299,182,9,crujiente,TM,Churritos Prueba
180971299,182,9,textura,JAR,Churritos Prueba
180971299,182,9,porosidad,JAR,Churritos Prueba
180961592,182,8,olor,JAR,Churritos Prueba
180961592,182,8,color,TM,Churritos Prueba
180961592,182,8,sal,TL,Churritos Prueba
180961592,182,8,queso,TL,Churritos Prueba
180961592,182,8,crujiente,TM,Churritos Prueba
180961592,182,8,textura,JAR,Churritos Prueba
180961592,182,8,porosidad,JAR,Churritos Prueba
181065893,182,9,olor,TM,Churritos Prueba
181065893,182,9,color,JAR,Churritos Prueba
181065893,182,9,sal,JAR,Churritos Prueba
181065893,182,9,queso,TM,Churritos Prueba
181065893,182,9,crujiente,JAR,Churritos Prueba
181065893,182,9,textura,JAR,Churritos Prueba
