sbj_num,producto1,olor,color,overall_liking,sal,queso,crujiente,textura,porosidad
181031766,Fórmula 781,1,3,8,1,2,1,2,1
181031766,Fórmula 182,1,1,7,3,3,1,2,3
181017249,Fórmula 182,3,2,9,2,2,2,2,2
181017249,Fórmula 781,2,2,9,2,2,2,2,2
181070589,Fórmula 182,2,2,9,2,2,2,2,2
181070589,Fórmula 781,2,2,9,2,2,2,2,2
181068738,Fórmula 781,2,3,7,2,3,2,2,3
181068738,Fórmula 182,1,1,8,2,1,2,1,1
181117148,Fórmula 781,2,2,7,2,2,2,2,3
181117148,Fórmula 182,3,1,6,3,3,2,2,2
180961520,Fórmula 182,1,3,9,2,3,3,3,3
180961520,Fórmula 781,3,3,9,2,3,3,3,3
180947769,Fórmula 781,3,2,9,2,2,2,2,3
180947769,Fórmula 182,3,2,8,2,2,2,2,2
181030688,Fórmula 781,3,3,9,1,3,3,3,3
181030688,Fórmula 182,1,3,7,3,1,3,3,3
180949636,Fórmula 182,3,3,7,2,2,3,2,2
180949636,Fórmula 781,2,2,7,2,3,2,2,2
181070432,Fórmula 182,1,1,8,2,1,2,3,3
181070432,Fórmula 781,1,3,8,3,3,3,3,3
180977204,Fórmula 182,2,3,8,2,1,3,3,2
180977204,Fórmula 781,3,3,8,1,1,3,2,2
181070305,Fórmula 182,3,2,8,2,2,2,2,2
181070305,Fórmula 781,3,2,6,1,1,3,2,1
181020823,Fórmula 781,2,2,9,2,2,2,2,2
181020823,Fórmula 182,2,2,9,2,1,2,2,2
180977521,Fórmula 781,2,2,8,2,2,2,2,2
180977521,Fórmula 182,2,2,9,2,2,2,2,2
180966092,Fórmula 182,2,1,7,3,2,1,3,2
180966092,Fórmula 781,1,2,8,2,2,2,1,2
181017597,Fórmula 182,2,2,9,2,2,2,2,2
181017597,Fórmula 781,2,2,9,2,2,2,2,2
180977206,Fórmula 781,2,1,9,2,2,3,2,2
180977206,Fórmula 182,2,2,8,2,2,3,2,2
181123190,Fórmula 182,1,1,4,2,1,2,2,1
181123190,Fórmula 781,2,2,9,2,2,2,2,2
181058937,Fórmula 182,2,2,7,2,2,2,2,2
181058937,Fórmula 781,1,1,6,2,2,2,2,2
180970385,Fórmula 781,2,3,8,2,3,3,3,3
180970385,Fórmula 182,3,3,9,2,3,3,3,3
180971951,Fórmula 182,3,2,7,1,3,3,1,3
180971951,Fórmula 781,3,1,7,1,3,1,3,3
181015666,Fórmula 781,2,2,9,2,2,2,2,2
181015666,Fórmula 182,2,2,8,2,2,2,2,2
180946696,Fórmula 182,3,3,7,1,1,3,2,1
180946696,Fórmula 781,2,2,9,2,2,2,2,2
181037086,Fórmula 182,2,2,8,2,2,2,2,3
181037086,Fórmula 781,2,2,9,2,2,3,3,3
181063082,Fórmula 781,2,2,8,2,2,2,2,2
181063082,Fórmula 182,3,1,6,3,1,3,1,3
181062142,Fórmula 781,2,1,9,2,2,2,1,2
181062142,Fórmula 182,3,3,9,2,3,2,2,2
181071471,Fórmula 781,1,1,8,3,1,1,1,3
181071471,Fórmula 182,3,1,8,3,3,1,1,1
180947883,Fórmula 182,2,2,9,2,2,2,2,2
180947883,Fórmula 781,2,2,9,2,2,2,2,1
180976301,Fórmula 781,2,2,9,2,2,2,2,2
180976301,Fórmula 182,3,1,9,2,2,2,2,2
180961587,Fórmula 182,2,3,8,2,2,2,2,2
180961587,Fórmula 781,1,2,7,2,2,2,2,2
181013905,Fórmula 182,2,2,9,2,2,2,2,2
181013905,Fórmula 781,2,2,9,2,2,2,2,2
180945652,Fórmula 182,2,2,8,1,2,2,2,2
180945652,Fórmula 781,1,2,8,2,1,2,2,2
181015598,Fórmula 182,2,2,7,2,2,2,2,2
181015598,Fórmula 781,1,3,8,2,2,2,2,2
180947452,Fórmula 182,3,3,7,1,2,1,1,1
180947452,Fórmula 781,2,2,9,2,2,2,2,2
181113070,Fórmula 182,2,1,7,2,1,2,2,2
181113070,Fórmula 781,2,2,8,2,2,2,2,2
181067991,Fórmula 182,1,1,7,1,3,3,1,1
181067991,Fórmula 781,1,3,9,1,3,3,3,3
181066999,Fórmula 182,2,1,9,2,2,2,2,2
181066999,Fórmula 781,2,2,9,2,2,2,2,2
181012993,Fórmula 182,2,2,7,2,2,2,2,2
181012993,Fórmula 781,2,3,9,2,3,2,2,2
181008989,Fórmula 781,2,2,9,2,2,2,2,2
181008989,Fórmula 182,3,2,8,2,2,2,2,2
181123189,Fórmula 182,2,2,8,2,2,2,2,3
181123189,Fórmula 781,2,3,9,2,2,2,2,2
181067447,Fórmula 781,2,2,9,2,2,2,2,2
181067447,Fórmula 182,2,2,9,2,2,2,2,2
181015719,Fórmula 781,2,2,9,2,2,2,2,2
181015719,Fórmula 182,2,2,9,2,2,2,2,2
180968068,Fórmula 781,1,1,7,1,1,1,1,1
180968068,Fórmula 182,1,3,7,1,1,1,1,1
180946540,Fórmula 182,2,2,7,2,2,2,2,2
180946540,Fórmula 781,3,3,7,2,2,2,2,2
181015720,Fórmula 182,1,2,7,2,2,2,2,2
181015720,Fórmula 781,2,2,9,2,2,2,2,2
181126200,Fórmula 182,2,2,8,2,2,2,2,2
181126200,Fórmula 781,2,2,7,2,2,2,2,2
181072715,Fórmula 781,1,3,9,2,2,2,2,2
181072715,Fórmula 182,2,2,9,2,2,2,2,2
181069034,Fórmula 781,1,3,9,2,1,3,3,1
181069034,Fórmula 182,2,1,9,2,2,3,2,2
180968691,Fórmula 781,1,2,8,2,2,2,2,2
180968691,Fórmula 182,2,1,9,2,2,2,2,2
181121716,Fórmula 182,2,2,9,2,2,2,2,2
181121716,Fórmula 781,2,2,9,2,2,2,2,2
181125969,Fórmula 781,2,2,8,2,2,2,2,2
181125969,Fórmula 182,1,1,8,2,2,2,2,2
181061697,Fórmula 182,2,2,7,2,2,2,2,2
181061697,Fórmula 781,2,2,9,2,2,2,2,2
181065569,Fórmula 781,2,2,7,2,2,2,2,2
181065569,Fórmula 182,2,2,7,1,1,2,2,2
181014952,Fórmula 182,2,2,8,2,2,2,2,2
181014952,Fórmula 781,2,2,8,2,2,2,2,2
180971953,Fórmula 781,2,2,9,2,2,2,2,2
180971953,Fórmula 182,1,1,7,1,1,2,2,2
180971581,Fórmula 182,2,2,8,2,2,2,2,2
180971581,Fórmula 781,1,3,7,2,2,2,2,2
181032090,Fórmula 182,2,2,9,2,2,2,2,2
181032090,Fórmula 781,2,2,9,2,2,2,2,2
180976315,Fórmula 781,3,1,7,3,3,1,1,1
180976315,Fórmula 182,1,1,7,3,3,3,1,1
181032382,Fórmula 781,2,2,9,2,2,2,2,2
181032382,Fórmula 182,1,2,8,2,1,2,2,2
